學年度,學校代碼,學校名稱,科系代碼,科系名稱,日間∕進修別,等級別,總計,男生計,女生計,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生,縣市名稱,體系別
103,1,國立政治大學,140101,教育學系,D 日,D 博士,93,53,40,13,7,9,7,10,6,11,6,7,6,2,6,1,2,0,0,30 臺北市,1 一般
103,1,國立政治大學,140101,教育學系,D 日,M 碩士,34,5,29,3,12,1,9,0,4,1,4,0,0,0,0,0,0,0,0,30 臺北市,1 一般
103,1,國立政治大學,140101,教育學系,D 日,B 學士,250,85,165,18,42,22,44,20,37,16,32,0,0,0,0,0,0,9,10,30 臺北市,1 一般
103,1,國立政治大學,140203,華語文教學博士學位學程,D 日,D 博士,18,1,17,0,3,1,1,0,4,0,5,0,2,0,1,0,1,0,0,30 臺北市,1 一般
103,1,國立政治大學,140203,華語文教學碩士學位學程,D 日,M 碩士,55,9,46,2,13,2,11,3,8,2,14,0,0,0,0,0,0,0,0,30 臺北市,1 一般
103,1,國立政治大學,140218,國文教學碩士在職專班,N 職,M 碩士,89,11,78,5,16,2,25,2,16,1,14,1,7,0,0,0,0,0,0,30 臺北市,1 一般
103,1,國立政治大學,140219,數學教學碩士在職專班,N 職,M 碩士,5,1,4,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,30 臺北市,1 一般
103,1,國立政治大學,140401,幼兒教育研究所,D 日,M 碩士,39,4,35,2,12,0,13,1,5,1,5,0,0,0,0,0,0,0,0,30 臺北市,1 一般
103,1,國立政治大學,140701,教育行政與政策研究所,D 日,M 碩士,41,12,29,3,7,4,12,3,5,2,5,0,0,0,0,0,0,0,0,30 臺北市,1 一般
103,1,國立政治大學,140709,學校行政碩士在職專班,N 職,M 碩士,83,31,52,9,12,7,16,10,15,1,6,4,3,0,0,0,0,0,0,30 臺北市,1 一般
103,1,國立政治大學,220101,台灣文學研究所,D 日,D 博士,13,4,9,1,3,0,0,0,2,1,2,0,1,2,1,0,0,0,0,30 臺北市,1 一般
103,1,國立政治大學,220101,台灣文學研究所,D 日,M 碩士,38,11,27,3,9,2,7,3,5,3,6,0,0,0,0,0,0,0,0,30 臺北市,1 一般
103,1,國立政治大學,220201,中國文學系,D 日,D 博士,69,29,40,2,11,5,7,5,5,4,9,5,4,4,2,4,2,0,0,30 臺北市,1 一般
103,1,國立政治大學,220201,中國文學系,D 日,M 碩士,86,38,48,11,7,7,15,12,9,8,17,0,0,0,0,0,0,0,0,30 臺北市,1 一般
103,1,國立政治大學,220201,中國文學系,D 日,B 學士,365,94,271,19,64,21,64,22,64,28,56,0,0,0,0,0,0,4,23,30 臺北市,1 一般
103,1,國立政治大學,220307,英國語文學系,D 日,D 博士,27,13,14,2,1,2,2,4,3,1,1,2,3,0,2,2,2,0,0,30 臺北市,1 一般
103,1,國立政治大學,220307,英國語文學系,D 日,M 碩士,57,15,42,2,10,4,13,2,10,7,9,0,0,0,0,0,0,0,0,30 臺北市,1 一般
103,1,國立政治大學,220307,英國語文學系,D 日,B 學士,315,70,245,26,46,12,57,18,57,10,61,0,0,0,0,0,0,4,24,30 臺北市,1 一般
103,1,國立政治大學,220307,英國語文學系英語教學碩士在職專班,N 職,M 碩士,34,4,30,0,0,3,13,0,5,1,8,0,4,0,0,0,0,0,0,30 臺北市,1 一般
103,1,國立政治大學,220320,日本語文學系,D 日,M 碩士,21,6,15,3,6,1,3,0,3,2,3,0,0,0,0,0,0,0,0,30 臺北市,1 一般
103,1,國立政治大學,220320,日本語文學系,D 日,B 學士,186,46,140,6,33,9,30,10,29,12,27,0,0,0,0,0,0,9,21,30 臺北市,1 一般
103,1,國立政治大學,220322,阿拉伯語文學系,D 日,B 學士,156,48,108,9,35,11,25,9,23,11,21,0,0,0,0,0,0,8,4,30 臺北市,1 一般
103,1,國立政治大學,220324,韓國語文學系,D 日,M 碩士,15,2,13,1,5,1,5,0,3,0,0,0,0,0,0,0,0,0,0,30 臺北市,1 一般
103,1,國立政治大學,220324,韓國語文學系,D 日,B 學士,167,24,143,3,30,4,30,10,27,7,37,0,0,0,0,0,0,0,19,30 臺北市,1 一般
103,1,國立政治大學,220326,土耳其語文學系,D 日,B 學士,133,33,100,10,26,2,26,9,22,6,22,0,0,0,0,0,0,6,4,30 臺北市,1 一般
103,1,國立政治大學,220327,歐洲語文學系,D 日,B 學士,303,64,239,12,51,13,49,8,54,18,50,0,0,0,0,0,0,13,35,30 臺北市,1 一般
103,1,國立政治大學,220327,歐洲語言文化學程碩士在職專班,N 職,M 碩士,4,0,4,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,30 臺北市,1 一般
103,1,國立政治大學,220333,斯拉夫語文學系,D 日,M 碩士,18,5,13,2,2,0,6,1,4,2,1,0,0,0,0,0,0,0,0,30 臺北市,1 一般
103,1,國立政治大學,220333,斯拉夫語文學系,D 日,B 學士,225,71,154,20,39,14,41,12,36,14,28,0,0,0,0,0,0,11,10,30 臺北市,1 一般
103,1,國立政治大學,220701,語言學研究所,D 日,D 博士,8,3,5,1,1,1,0,0,0,1,1,0,0,0,1,0,2,0,0,30 臺北市,1 一般
103,1,國立政治大學,220701,語言學研究所,D 日,M 碩士,39,7,32,3,11,1,9,1,6,2,6,0,0,0,0,0,0,0,0,30 臺北市,1 一般
103,1,國立政治大學,220801,宗教研究所,D 日,D 博士,29,13,16,3,5,2,3,2,1,1,2,3,2,1,3,1,0,0,0,30 臺北市,1 一般
103,1,國立政治大學,220801,宗教研究所,D 日,M 碩士,39,19,20,7,7,5,4,6,3,1,6,0,0,0,0,0,0,0,0,30 臺北市,1 一般
103,1,國立政治大學,220901,歷史學系,D 日,D 博士,36,25,11,2,2,2,2,7,3,6,1,2,0,4,2,2,1,0,0,30 臺北市,1 一般
103,1,國立政治大學,220901,歷史學系,D 日,M 碩士,52,40,12,9,2,14,5,8,0,9,5,0,0,0,0,0,0,0,0,30 臺北市,1 一般
103,1,國立政治大學,220901,歷史學系,D 日,B 學士,196,97,99,28,21,25,19,21,23,12,25,0,0,0,0,0,0,11,11,30 臺北市,1 一般
103,1,國立政治大學,220903,台灣史研究所,D 日,D 博士,21,12,9,2,0,1,1,1,0,2,3,4,1,0,3,2,1,0,0,30 臺北市,1 一般
103,1,國立政治大學,220903,台灣史研究所,D 日,M 碩士,57,38,19,13,4,7,4,6,5,12,6,0,0,0,0,0,0,0,0,30 臺北市,1 一般
103,1,國立政治大學,221101,哲學系,D 日,D 博士,32,22,10,4,2,0,3,5,0,4,1,0,2,3,1,6,1,0,0,30 臺北市,1 一般
103,1,國立政治大學,221101,哲學系,D 日,M 碩士,38,27,11,6,3,5,3,6,3,10,2,0,0,0,0,0,0,0,0,30 臺北市,1 一般
103,1,國立政治大學,221101,哲學系,D 日,B 學士,184,83,101,19,35,22,13,15,21,19,20,0,0,0,0,0,0,8,12,30 臺北市,1 一般
